# date	bmag	err
220.667	-7.02	0.02
261.645	-6.879	0.01
262.608	-6.888	0.009
264.677	-6.833	0.023
265.732	-6.85	0.01
269.769	-6.873	0.011
271.738	-6.89	0.023
272.763	-6.84	0.009
273.765	-6.841	0.01
283.584	-6.783	0.024
284.596	-6.721	0.035
285.454	-6.773	0.032
286.604	-6.794	0.017
291.761	-6.722	0.023
292.606	-6.757	0.036
293.693	-6.705	0.015
294.529	-6.731	0.009
295.731	-6.668	0.008
296.531	-7.121	9.999
297.505	-7.098	9.999
300.731	-6.691	0.011
304.48	-6.708	0.016
305.508	-6.677	0.01
306.46	-6.641	0.02
306.548	-6.679	0.018
306.627	-6.7	0.012
306.696	-6.639	0.013
307.46	-7.085	9.999
308.647	-6.668	0.011
310.611	-6.701	0.014
312.617	-6.965	0.06
314.672	-6.764	0.032
315.498	-6.719	0.016
316.515	-6.796	0.013
318.574	-6.717	0.05
324.623	-6.904	0.021
326.511	-6.979	0.007
341.661	-7.104	0.023
342.502	-7.094	0.024
343.5	-7.052	0.015
351.586	-7.03	0.019
361.501	-6.996	0.012
361.665	-6.797	0.023
362.521	-6.981	0.009
364.51	-7.006	0.008
364.705	-7.015	0.008
365.498	-7.013	0.011
365.688	-7.018	0.01
366.519	-7.037	0.011
373.467	-7.063	0.011
373.705	-7.085	0.086
373.719	-7.128	0.055
373.734	-7.068	0.019
375.468	-7.075	0.008
375.664	-7.088	0.013
377.483	-7.115	0.013
377.665	-7.178	0.022
378.471	-7.108	0.006
378.663	-7.131	0.011
379.469	-7.117	0.006
380.565	-7.131	0.009
380.659	-7.126	0.013
381.463	-7.131	0.048
383.478	-7.139	0.006
383.662	-7.097	0.038
384.487	-7.146	0.01
384.647	-7.161	0.009
387.644	-7.159	0.01
388.558	-7.196	0.01
388.563	-7.173	0.011
391.665	-7.231	0.017
392.472	-7.205	0.011
392.597	-7.208	0.008
393.505	-7.208	0.009
393.626	-7.21	0.009
395.495	-7.216	0.006
395.629	-7.232	0.006
397.563	-7.249	0.011
397.663	-7.231	0.008
398.501	-7.211	0.009
398.617	-7.234	0.008
401.467	-7.225	0.027
402.537	-7.193	0.013
406.473	-7.162	0.009
409.464	-7.171	0.014
409.582	-7.199	0.025
412.592	-7.179	0.014
413.67	-7.164	0.016
414.597	-7.171	0.009
417.507	-7.198	0.007
420.466	-7.213	0.008
420.567	-7.198	0.009
421.477	-7.192	0.011
421.636	-7.214	0.023
422.451	-7.199	0.007
422.556	-7.205	0.008
423.612	-7.185	0.026
425.447	-7.272	0.014
425.55	-7.258	0.01
426.463	-7.252	0.016
426.605	-7.277	0.015
426.618	-7.27	0.014
427.61	-7.249	0.012
428.443	-7.262	0.013
430.552	-7.25	0.017
432.681	-7.316	0.033
436.48	-7.288	0.007
437.427	-7.311	0.006
438.43	-7.288	0.007
438.611	-7.317	0.015
439.428	-7.293	0.008
441.527	-7.267	0.007
441.681	-7.305	0.011
442.449	-7.271	0.006
442.504	-7.251	0.007
442.685	-7.3	0.01
444.443	-7.252	0.011
444.569	-7.248	0.011
445.485	-7.229	0.007
446.434	-7.244	0.008
451.419	-7.24	0.015
451.557	-7.173	0.019
452.41	-7.188	0.012
452.677	-7.194	0.02
453.49	-7.177	0.01
453.605	-7.195	0.015
454.45	-7.11	0.015
455.678	-7.172	0.021
457.52	-7.094	0.016
459.485	-7.123	0.045
460.406	-7.184	0.054
460.53	-7.045	0.047
461.465	-7.09	0.019
462.435	-7.145	0.017
463.441	-7.13	0.013
464.559	-7.159	0.014
465.46	-7.151	0.007
466.457	-7.166	0.006
469.507	-7.208	0.013
470.399	-7.22	0.008
471.402	-7.213	0.008
472.402	-7.14	0.047
473.402	-7.233	0.008
473.51	-7.264	0.007
474.404	-7.245	0.007
474.532	-7.29	0.008
475.403	-7.284	0.006
475.504	-7.285	0.009
476.392	-7.272	0.007
476.499	-7.298	0.007
477.39	-7.269	0.01
477.499	-7.328	0.008
478.405	-7.286	0.007
480.401	-7.302	0.007
481.556	-7.338	0.01
483.482	-7.329	0.01
484.419	-7.283	0.011
484.553	-7.351	0.013
485.403	-7.316	0.009
486.462	-7.328	0.022
488.465	-7.311	0.063
489.41	-7.288	0.012
491.394	-7.286	0.012
492.568	-7.312	0.022
494.406	-7.27	0.009
495.379	-7.25	0.011
497.385	-7.244	0.009
499.402	-7.262	0.039
500.386	-7.197	0.011
501.384	-7.186	0.01
502.38	-7.177	0.007
503.381	-7.186	0.009
503.407	-7.172	0.008
504.389	-7.165	0.009
507.423	-7.189	0.02
508.518	-7.181	0.033
509.507	-7.184	0.024
510.453	-7.169	0.01
511.387	-7.176	0.009
512.368	-7.148	0.009
517.375	-7.196	0.045
517.797	-7.212	0.018
518.798	-7.153	0.03
519.781	-7.215	0.055
520.378	-7.181	0.018
520.782	-7.129	0.035
521.373	-7.164	0.009
521.8	-7.195	0.026
522.369	-7.252	0.085
522.786	-6.992	0.153
523.368	-7.186	0.022
528.784	-7.274	0.049
529.367	-7.232	0.015
529.78	-7.192	0.013
530.376	-7.209	0.01
531.373	-7.173	0.037
532.383	-7.307	0.066
533.374	-7.204	0.011
538.366	-7.237	0.074
538.783	-7.265	0.019
539.415	-7.29	0.017
539.757	-7.293	0.024
540.371	-7.265	0.01
541.371	-7.287	0.02
542.425	-7.289	0.025
546.418	-7.315	0.022
546.813	-7.279	0.008
548.77	-7.268	0.053
549.366	-7.263	0.02
553.375	-7.11	0.029
555.763	-7.135	0.015
556.724	-7.12	0.019
557.373	-7.082	0.016
557.691	-7.101	0.015
558.4	-7.08	0.032
559.777	-7.055	0.015
560.681	-7.057	0.044
561.379	-7.055	0.015
562.376	-7.032	0.013
563.367	-7.031	0.014
565.372	-6.892	0.026
565.659	-6.923	0.021
566.361	-6.938	0.036
566.668	-6.882	0.016
568.376	-6.867	0.03
571.682	-6.768	0.022
572.631	-6.785	0.032
573.666	-6.725	0.04
576.693	-6.599	0.041
576.788	-6.707	0.019
578.629	-6.691	0.148
580.65	-6.683	0.043
581.649	-6.71	0.03
585.637	-6.537	0.053
586.618	-6.586	0.03
587.635	-6.564	0.04
588.666	-6.584	0.017
589.78	-6.512	0.098
591.769	-6.151	0.133
592.607	-6.868	0.13
592.67	-6.526	0.028
593.595	-6.451	0.144
594.603	-6.479	0.013
595.594	-6.449	0.017
596.61	-6.5	0.043
597.707	-6.118	0.127
598.59	-6.387	0.041
599.575	-6.444	0.017
600.577	-6.328	0.038
601.563	-6.288	0.037
602.783	-6.353	0.033
610.557	-6.242	0.087
629.509	-6.137	0.027
630.551	-5.823	0.482
630.647	-6.146	0.045
631.606	-6.147	0.019
632.524	-6.12	0.037
633.543	-6.122	0.021
634.533	-6.129	0.022
635.492	-6.148	0.134
635.715	-6.115	0.026
636.781	-6.166	0.035
637.517	-6.113	0.049
641.714	-6.143	0.077
642.492	-6.201	0.019
643.573	-6.203	0.029
644.593	-6.263	0.025
645.548	-6.288	0.025
645.78	-6.199	0.04
646.588	-6.336	0.062
647.551	-6.341	0.037
649.583	-6.338	0.016
650.466	-6.368	0.027
651.501	-6.425	0.037
653.742	-6.417	0.011
654.622	-6.451	0.011
656.736	-6.473	0.017
657.671	-6.46	0.029
659.52	-6.47	0.014
660.448	-6.504	0.017
662.655	-6.475	0.039
663.46	-6.47	0.026
664.537	-6.49	0.036
666.542	-6.508	0.034
667.747	-6.682	0.183
668.475	-6.423	0.037
668.748	-6.431	0.051
679.579	-6.431	0.013
679.742	-6.648	0.109
680.432	-6.471	0.017
684.508	-6.509	0.013
686.472	-6.569	0.01
688.522	-6.631	0.019
688.73	-6.601	0.02
689.533	-6.611	0.012
689.726	-6.637	0.014
690.488	-6.669	0.027
690.727	-6.682	0.012
691.471	-6.73	0.034
692.486	-6.714	0.016
694.487	-6.76	0.01
694.728	-6.809	0.017
695.62	-6.789	0.024
749.474	-6.94	0.008
751.599	-6.978	0.015
752.483	-6.983	0.011
753.505	-6.993	0.01
754.549	-6.988	0.013
755.459	-7.057	0.033
755.755	-7.08	0.029
757.461	-7.063	0.017
758.547	-7.064	0.017
761.694	-7.055	0.019
763.484	-7.062	0.01
765.605	-7.048	0.015
767.474	-7.072	0.011
769.742	-7.138	0.016
773.58	-7.119	0.064
775.451	-7.085	0.007
776.455	-7.128	0.01
776.762	-7.143	0.016
777.479	-7.095	0.023
781.651	-7.132	0.008
782.59	-7.117	0.011
783.521	-7.105	0.013
785.675	-7.234	0.082
786.513	-7.174	0.014
788.727	-6.99	0.102
789.242	-7.161	0.011
789.502	-7.248	0.023
790.449	-7.182	0.006
790.744	-7.161	0.024
791.465	-7.15	0.014
792.447	-7.163	0.006
792.746	-7.222	0.027
793.44	-7.182	0.007
794.446	-7.184	0.008
795.749	-7.192	0.023
800.429	-7.205	0.038
800.452	-7.198	0.017
800.734	-7.179	0.026
801.439	-7.207	0.011
801.728	-7.24	0.023
802.585	-7.213	0.009
802.715	-7.231	0.01
803.444	-7.198	0.007
803.712	-7.229	0.012
804.464	-7.194	0.012
805.437	-7.195	0.009
805.699	-7.217	0.02
806.459	-7.182	0.007
809.435	-7.164	0.009
810.437	-7.167	0.012
811.443	-7.156	0.01
812.441	-7.149	0.019
812.698	-7.17	0.03
813.436	-7.102	0.014
815.436	-7.066	0.014
818.647	-7.066	0.037
821.605	-7.112	0.037
822.614	-7.037	0.011
823.516	-7.02	0.008
824.585	-7.035	0.013
825.403	-7.003	0.017
826.406	-7.008	0.014
827.403	-7.002	0.008
827.556	-7.028	0.011
828.485	-7.01	0.01
829.529	-7.044	0.015
832.475	-7.031	0.019
833.61	-7.121	0.015
834.466	-7.094	0.008
835.43	-7.075	0.007
835.631	-7.137	0.031
836.644	-7.107	0.013
837.376	-7.143	0.009
837.634	-7.14	0.017
838.477	-7.138	0.009
839.45	-7.149	0.013
840.51	-7.153	0.012
841.45	-7.157	0.018
842.465	-7.183	0.012
842.617	-7.167	0.029
843.458	-7.167	0.014
843.471	-7.157	0.012
844.503	-7.202	0.047
845.606	-7.201	0.039
846.56	-7.189	0.03
847.566	-7.188	0.061
848.48	-7.178	0.014
849.514	-7.198	0.013
850.533	-7.213	0.01
854.452	-7.159	0.007
855.457	-7.149	0.007
856.399	-7.128	0.008
858.502	-7.157	0.01
860.475	-7.142	0.01
861.384	-7.128	0.007
862.45	-7.158	0.009
863.438	-7.227	0.041
864.476	-7.187	0.008
865.461	-7.182	0.011
865.824	-7.176	0.083
866.42	-7.172	0.015
868.814	-7.195	0.017
869.469	-7.256	0.021
870.471	-7.2	0.11
870.808	-7.238	0.042
871.82	-7.224	0.013
873.422	-7.21	0.033
873.822	-7.298	0.032
875.453	-7.248	0.033
877.418	-7.239	0.052
882.472	-7.189	0.01
886.418	-7.171	0.011
888.443	-7.101	0.019
888.783	-7.12	0.033
889.418	-7.111	0.016
889.775	-7.135	0.026
890.818	-7.089	0.01
891.401	-7.086	0.012
893.417	-7.11	0.018
894.739	-7.082	0.033
895.451	-6.927	0.075
895.773	-7.073	0.029
896.475	-7.054	0.027
897.758	-7.005	0.034
899.786	-6.965	0.012
902.794	-6.904	0.033
