# date	bmag	err
200.698	-8.734	0.005
201.701	-8.788	0.005
218.677	-9.64	0.002
219.692	-9.672	0.002
220.662	-9.706	0.002
226.802	-9.898	0.002
261.695	-9.986	0.001
262.675	-9.97	0.001
264.773	-9.969	0.001
265.77	-9.917	0.001
271.774	-9.864	0.002
285.485	-8.99	0.021
292.639	-9.439	0.003
293.741	-9.403	0.002
294.595	-9.374	0.001
296.594	-9.319	0.003
304.545	-9.124	0.003
305.561	-9.064	0.002
306.513	-9.053	0.006
307.621	-9.002	0.003
308.529	-8.993	0.002
310.668	-8.921	0.002
312.666	-8.843	0.004
314.727	-8.809	0.004
315.551	-8.779	0.003
316.568	-8.735	0.003
318.622	-8.682	0.012
324.67	-8.494	0.004
325.737	-8.45	0.002
326.558	-8.425	0.002
341.705	-7.948	0.008
342.556	-7.899	0.009
343.551	-7.859	0.008
361.576	-7.287	0.01
362.577	-7.242	0.005
364.576	-7.169	0.007
365.556	-7.151	0.007
365.741	-7.175	0.017
366.565	-7.146	0.007
373.513	-6.884	0.012
375.515	-6.847	0.011
375.74	-6.822	0.025
377.531	-6.815	0.013
378.53	-6.759	0.008
378.713	-6.795	0.016
379.535	-7.054	0.201
379.699	-6.754	0.021
380.589	-6.721	0.013
383.525	-6.611	0.007
383.725	-6.68	0.02
384.562	-6.634	0.022
384.696	-6.635	0.021
391.715	-6.471	0.045
392.525	-6.373	0.014
392.643	-6.363	0.017
393.551	-6.37	0.014
393.677	-6.278	0.033
395.546	-6.298	0.009
395.679	-6.282	0.014
397.625	-6.231	0.016
398.525	-6.187	0.016
398.662	-6.254	0.023
402.644	-6.106	0.041
406.501	-5.992	0.019
409.51	-5.896	0.029
413.723	-5.888	0.053
414.488	-5.858	0.014
420.613	-5.718	0.03
421.683	-5.715	0.081
422.481	-5.646	0.019
422.617	-5.593	0.027
423.7	-5.674	0.178
425.46	-5.567	0.038
425.609	-5.662	0.033
426.533	-5.551	0.052
426.676	-5.614	0.058
427.675	-5.479	0.039
430.598	-5.518	0.061
436.527	-5.299	0.038
437.507	-5.354	0.029
438.489	-5.309	0.026
439.486	-5.242	0.036
441.588	-5.26	0.049
442.556	-5.166	0.031
444.494	-5.082	0.048
445.536	-5.139	0.029
446.514	-5.095	0.048
446.627	-5.105	0.036
451.489	-5.032	0.069
452.564	-4.959	0.085
453.541	-5.003	0.115
454.498	-4.864	0.191
